x= -5.0 sin=+0.958924275      |*****      |**    cos=+0.283662186 tan=-3.380515
x= -1.6 sin=-0.999573603 *****|           |      cos=-0.029199533 tan=-34.23252
x= -1.5 sin=-0.997494987 *****|           |      cos=+0.070737191 tan=+14.101422
x= -1.4 sin=-0.985449732 *****|           |*     cos=+0.169967132 tan=+5.7978841
x= -1.3 sin=-0.963558188 *****|           |*     cos=+0.267498818 tan=+3.6021026
x= -1.2 sin=-0.932039090 *****|           |**    cos=+0.362357745 tan=+2.5721517
x= -1.1 sin=-0.891207365 *****|           |**    cos=+0.453596112 tan=+1.9647597
x= -1.0 sin=-0.841470991 *****|           |***   cos=+0.540302297 tan=+1.5574078
x= -0.9 sin=-0.783326916  ****|           |***   cos=+0.621609960 tan=+1.2601582
x= -0.8 sin=-0.717356098  ****|           |****  cos=+0.696706702 tan=+1.0296386
x= -0.7 sin=-0.644217695  ****|           |****  cos=+0.764842181 tan=+0.8422884
x= -0.6 sin=-0.564642482   ***|           |***** cos=+0.825335609 tan=+0.68413682
x= -0.5 sin=-0.479425547   ***|           |***** cos=+0.877582557 tan=+0.5463025
x= -0.4 sin=-0.389418351    **|           |***** cos=+0.921060990 tan=+0.42279323
x= -0.3 sin=-0.295520216    **|           |***** cos=+0.955336486 tan=+0.30933626
x= -0.2 sin=-0.198669340     *|           |***** cos=+0.980066576 tan=+0.20271005
x= -0.1 sin=-0.099833426     *|           |***** cos=+0.995004164 tan=+0.10033468
x= -0.0 sin=-0.000000010      |           |***** cos=+1.000000000 tan=+9.8370947e-09
x= +0.1 sin=+0.099833407      |*          |***** cos=+0.995004166 tan=+0.10033466
x= +0.2 sin=+0.198669321      |*          |***** cos=+0.980066580 tan=+0.20271003
x= +0.3 sin=+0.295520197      |**         |***** cos=+0.955336492 tan=+0.30933624
x= +0.4 sin=+0.389418333      |**         |***** cos=+0.921060998 tan=+0.42279321
x= +0.5 sin=+0.479425530      |***        |***** cos=+0.877582567 tan=+0.54630248
x= +0.6 sin=+0.564642465      |***        |***** cos=+0.825335620 tan=+0.68413679
x= +0.7 sin=+0.644217680      |****       |****  cos=+0.764842194 tan=+0.84228836
x= +0.8 sin=+0.717356084      |****       |****  cos=+0.696706716 tan=+1.0296385
x= +0.9 sin=+0.783326904      |****       |***   cos=+0.621609976 tan=+1.2601582
x= +1.0 sin=+0.841470980      |*****      |***   cos=+0.540302314 tan=+1.5574077
x= +1.1 sin=+0.891207356      |*****      |**    cos=+0.453596130 tan=+1.9647596
x= +1.2 sin=+0.932039083      |*****      |**    cos=+0.362357763 tan=+2.5721516
x= +1.3 sin=+0.963558183      |*****      |*     cos=+0.267498838 tan=+3.6021023
x= +1.4 sin=+0.985449728      |*****      |*     cos=+0.169967152 tan=+5.7978834
x= +1.5 sin=+0.997494986      |*****      |      cos=+0.070737211 tan=+14.101418
x= +1.6 sin=+0.999573603      |*****      |      cos=-0.029199513 tan=-34.232543
x= +1.7 sin=+0.991664812      |*****     *|      cos=-0.128844485 tan=-7.6966027
x= +1.8 sin=+0.973847633      |*****     *|      cos=-0.227202086 tan=-4.2862618
x= +1.9 sin=+0.946300091      |*****    **|      cos=-0.323289559 tan=-2.9270976
x= +2.0 sin=+0.909297430      |*****    **|      cos=-0.416146829 tan=-2.1850399
x= +2.1 sin=+0.863209371      |*****   ***|      cos=-0.504846097 tan=-1.7098466
x= +2.2 sin=+0.808496409      |****    ***|      cos=-0.588501110 tan=-1.3738231
x= +2.3 sin=+0.745705219      |****   ****|      cos=-0.666276014 tan=-1.1192137
x= +2.4 sin=+0.675463188      |****   ****|      cos=-0.737393709 tan=-0.91601431
x= +2.5 sin=+0.598472152      |***    ****|      cos=-0.801143609 tan=-0.74702231
x= +2.6 sin=+0.515501381      |***   *****|      cos=-0.856888748 tan=-0.60159663
x= +2.7 sin=+0.427379890      |**    *****|      cos=-0.904072137 tan=-0.47272764
x= +2.8 sin=+0.334988161      |**    *****|      cos=-0.942222337 tan=-0.35552984
x= +2.9 sin=+0.239249340      |*     *****|      cos=-0.970958162 tan=-0.24640541
x= +3.0 sin=+0.141120020      |*     *****|      cos=-0.989992495 tan=-0.14254656
x= +3.1 sin=+0.041580675      |      *****|      cos=-0.999135150 tan=-0.041616667
x= +3.2 sin=-0.058374131      |      *****|      cos=-0.998294777 tan=+0.058473842
x= +3.3 sin=-0.157745681     *|      *****|      cos=-0.987479772 tan=+0.15974573
x= +3.4 sin=-0.255541089     *|      *****|      cos=-0.966798196 tan=+0.26431689
x= +3.5 sin=-0.350783215    **|      *****|      cos=-0.936456692 tan=+0.37458562
x= +3.6 sin=-0.442520431    **|      *****|      cos=-0.896758423 tan=+0.49346671
x= +3.7 sin=-0.529836128   ***|      *****|      cos=-0.848100039 tan=+0.62473305
x= +3.8 sin=-0.611857879   ***|       ****|      cos=-0.790967721 tan=+0.77355607
x= +3.9 sin=-0.687766148  ****|       ****|      cos=-0.725932315 tan=+0.94742462
x= +4.0 sin=-0.756802485  ****|       ****|      cos=-0.653643633 tan=+1.1578212
x= +4.1 sin=-0.818277102 *****|        ***|      cos=-0.574823959 tan=+1.4235264
x= +4.2 sin=-0.871575765 *****|        ***|      cos=-0.490260835 tan=+1.7777797
x= +4.3 sin=-0.916165930 *****|         **|      cos=-0.400799187 tan=+2.2858478
x= +4.4 sin=-0.951602069 *****|         **|      cos=-0.307332885 tan=+3.0963236
x= +4.5 sin=-0.977530114 *****|          *|      cos=-0.210795816 tan=+4.6373317
x= +4.6 sin=-0.993691002 *****|          *|      cos=-0.112152544 tan=+8.8601735
x= +4.7 sin=-0.999923257 *****|           |      cos=-0.012388681 tan=+80.71265
x= +4.8 sin=-0.996164610 *****|           |      cos=+0.087498966 tan=-11.384873
x= +4.9 sin=-0.982452616 *****|           |*     cos=+0.186512352 tan=-5.2674936
x= +5.0 sin=-0.958924280 *****|           |**    cos=+0.283662168 tan=-3.3805152

x= +0.0 sin=+0.000000000      |           |***** cos=+1.000000000 tan=+0
x= +0.8 sin=+0.707106781      |****       |****  cos=+0.707106781 tan=+1
x= +1.6 sin=+1.000000000      |*****      |      cos=+0.000000000 [SIGFPE]  tan=-1.7014118e+38
x= +2.4 sin=+0.707106781      |****   ****|      cos=-0.707106782 tan=-1
x= +3.1 sin=+0.000000000      |      *****|      cos=-1.000000000 tan=+0
x= +3.9 sin=-0.707106782  ****|       ****|      cos=-0.707106781 tan=+1
x= +4.7 sin=-1.000000000 *****|           |      cos=+0.000000001 tan=-1.0737418e+09
x= +5.5 sin=-0.707106781  ****|           |****  cos=+0.707106782 tan=-1
