divu: 1/1 = 1	divs: 1/1 = 1
divu: 38918/65078 = 0	divs: -26618/-458 = 58
divu: 12118/65209 = 0	divs: 12118/-327 = -37
divu: 58534/500 = 117	divs: -7002/500 = -14
divu: 63478/231 = 274	divs: -2058/231 = -8
divu: 43334/147 = 294	divs: -22202/147 = -151
divu: 14486/502 = 28	divs: 14486/502 = 28
divu: 58854/65041 = 0	divs: -6682/-495 = 13
divu: 61750/484 = 127	divs: -3786/484 = -7
divu: 39558/65136 = 0	divs: -25978/-400 = 64
divu: 8662/179 = 48	divs: 8662/179 = 48
divu: 50982/430 = 118	divs: -14554/430 = -33
divu: 51830/65121 = 0	divs: -13706/-415 = 33
divu: 27590/65485 = 0	divs: 27590/-51 = -540
divu: 60182/65264 = 0	divs: -5354/-272 = 19
divu: 34918/203 = 172	divs: -30618/203 = -150
divu: 33718/65118 = 0	divs: -31818/-418 = 76
divu: 7430/170 = 43	divs: 7430/170 = 43
divu: 37974/173 = 219	divs: -27562/173 = -159
divu: 10662/65384 = 0	divs: 10662/-152 = -70
divu: 7414/475 = 15	divs: 7414/475 = 15
divu: 44614/263 = 169	divs: -20922/263 = -79
divu: 7574/490 = 15	divs: 7574/490 = 15
divu: 43750/389 = 112	divs: -21786/389 = -56
divu: 38454/216 = 178	divs: -27082/216 = -125
divu: 8070/228 = 35	divs: 8070/228 = 35
divu: 34518/65191 = 0	divs: -31018/-345 = 89
divu: 3110/65314 = 0	divs: 3110/-222 = -14
divu: 61302/65365 = 0	divs: -4234/-171 = 24
divu: 28870/65 = 444	divs: 28870/65 = 444
divu: 53270/65252 = 0	divs: -12266/-284 = 43
divu: 19814/63 = 314	divs: 19814/63 = 314
divu: 10422/338 = 30	divs: 10422/338 = 30
divu: 41478/65310 = 0	divs: -24058/-226 = 106
divu: 63830/65185 = 0	divs: -1706/-351 = 4
divu: 28326/220 = 128	divs: 28326/220 = 128
divu: 16886/65231 = 0	divs: 16886/-305 = -55
divu: 45894/379 = 121	divs: -19642/379 = -51
divu: 662/478 = 1	divs: 662/478 = 1
divu: 28646/249 = 115	divs: 28646/249 = 115
divu: 15158/65484 = 0	divs: 15158/-52 = -291
divu: 42118/65368 = 0	divs: -23418/-168 = 139
divu: 60374/155 = 389	divs: -5162/155 = -33
divu: 20774/150 = 138	divs: 20774/150 = 138
divu: 5238/73 = 71	divs: 5238/73 = 71
divu: 30150/181 = 166	divs: 30150/181 = 166
divu: 46358/65240 = 0	divs: -19178/-296 = 64
divu: 4710/65459 = 0	divs: 4710/-77 = -61
divu: 52662/70 = 752	divs: -12874/70 = -183
divu: 9990/402 = 24	divs: 9990/402 = 24
divu: 24150/149 = 162	divs: 24150/149 = 162
divu: 45990/65104 = 0	divs: -19546/-432 = 45
divu: 26358/65475 = 0	divs: 26358/-61 = -432
divu: 47174/495 = 95	divs: -18362/495 = -37
divu: 59286/466 = 127	divs: -6250/466 = -13
divu: 13542/109 = 124	divs: 13542/109 = 124
divu: 57398/65216 = 0	divs: -8138/-320 = 25
divu: 10630/460 = 23	divs: 10630/460 = 23
divu: 20694/65167 = 0	divs: 20694/-369 = -56
divu: 38438/65034 = 0	divs: -27098/-502 = 53
divu: 14710/317 = 46	divs: 14710/317 = 46
divu: 31430/297 = 105	divs: 31430/297 = 105
divu: 39446/65228 = 0	divs: -26090/-308 = 84
divu: 55142/65319 = 0	divs: -10394/-217 = 47
divu: 29366/65338 = 0	divs: 29366/-198 = -148
divu: 44038/6 = 7339	divs: -21498/6 = -3583
divu: 50006/65161 = 0	divs: -15530/-375 = 41
divu: 63654/65476 = 0	divs: -1882/-60 = 31
divu: 35830/183 = 195	divs: -29706/183 = -162
divu: 48454/65123 = 0	divs: -17082/-413 = 41
divu: 52374/454 = 115	divs: -13162/454 = -28
divu: 63974/65505 = 0	divs: -1562/-31 = 50
divu: 34102/436 = 78	divs: -31434/436 = -72
divu: 44678/64 = 698	divs: -20858/64 = -325
divu: 46550/131 = 355	divs: -18986/131 = -144
divu: 56102/65406 = 0	divs: -9434/-130 = 72
divu: 24182/65073 = 0	divs: 24182/-463 = -52
divu: 32710/413 = 79	divs: 32710/413 = 79
divu: 32534/65216 = 0	divs: 32534/-320 = -101
divu: 40038/65179 = 0	divs: -25498/-357 = 71
divu: 6070/65070 = 0	divs: 6070/-466 = -13
divu: 12550/65146 = 0	divs: 12550/-390 = -32
divu: 10326/125 = 82	divs: 10326/125 = 82
divu: 15782/312 = 50	divs: 15782/312 = 50
divu: 45302/427 = 106	divs: -20234/427 = -47
divu: 49734/65239 = 0	divs: -15802/-297 = 53
divu: 45462/442 = 102	divs: -20074/442 = -45
divu: 48870/65365 = 0	divs: -16666/-171 = 97
divu: 10806/168 = 64	divs: 10806/168 = 64
divu: 13190/65204 = 0	divs: 13190/-332 = -39
divu: 6870/65143 = 0	divs: 6870/-393 = -17
divu: 8230/242 = 34	divs: 8230/242 = 34
divu: 33654/65317 = 0	divs: -31882/-219 = 145
divu: 33990/65041 = 0	divs: -31546/-495 = 63
divu: 25622/65204 = 0	divs: 25622/-332 = -77
divu: 24934/65039 = 0	divs: 24934/-497 = -50
